Row.names	freq	prev	p.freq	p.prev	p	contaminant	Kingdom	Phylum	Class	Order	Family	Genus	Species
97f9b178c7a7b01827a8f2f13022a9cd	7.485217376156397e-6	1	NA	NA	NA	FALSE	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	NA
4cfbef607533138fa83ae1ba7ec8cf0e	1.58630173651009e-5	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	Nigrospora_sp
00ff7ab7a8916672e2b7cb1a789a5d43	7.349122514771736e-6	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	unidentified	Thelebolaceae_sp
677235f611b844fad223e88defb95da6	1.6358630566564192e-5	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_tenuissimum
da2c0a812f71840f03fa9f28537ee413	1.0389310937299784e-5	3	NA	0.6589892504148329	0.6589892504148329	FALSE	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fuscoporia	Fuscoporia_contigua
fdc4ec9b3d26bcce7f1b300345114ced	1.247778324189808e-5	3	NA	0.6589892504148329	0.6589892504148329	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
de1c66c49352f33a972d8586790b996a	2.208833294253975e-5	1	NA	NA	NA	FALSE	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Buckleyzymaceae	Buckleyzyma	Buckleyzyma_armeniaca
bd9f64ab554815c621bde57422adb1b0	1.4641618236698652e-5	1	NA	NA	NA	FALSE	Fungi	NA	NA	NA	NA	NA	NA
bfa8242502fb91720f09be66cbad4b2b	8.487080052750467e-6	1	NA	NA	NA	FALSE	Fungi	NA	NA	NA	NA	NA	NA
634e751d1f3016ccc2d37580e89f75c8	8.738179931223802e-6	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora	Articulospora_sp
d8b1f8673e0cfe6a26084dc4780bba4c	1.7269110063362907e-5	2	NA	0.6122754491017963	0.6122754491017963	FALSE	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis_pachyderma
20cb7967d3c2e5b63ad46275e64a4b66	7.498923683894782e-6	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	unidentified	Thelebolaceae_sp
591d9a21429b860b55b27d0b7c34623b	3.4600554911487713e-6	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_phoenicicola
19fe3760988d8790b57c3677c392cf39	6.84835461053147e-5	2	NA	0.6122754491017963	0.6122754491017963	FALSE	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Crocicreas	Crocicreas_sp
e961a4ff4726dfcd70b09bf6f44dd22b	2.610235464120747e-5	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	Epicoccum_sp
e9a67d71806efff21866ddbce0ad772b	1.270601403005128e-5	3	NA	0.6589892504148329	0.6589892504148329	FALSE	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	NA	NA
8023f044da00a4ef63521b8e707f52d4	1.8561746764316305e-5	1	NA	NA	NA	FALSE	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora_duplex
024b1d86a343dd3cd90ac3443ccd454f	1.7912672140779273e-5	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe_necator
0bd80d799089f412b886bf6bc2e4dc96	1.2147055472470595e-5	2	NA	0.6122754491017963	0.6122754491017963	FALSE	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_nidulans
a9fe724025389f60f6689918956786ca	1.7953733945771104e-5	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	NA	NA
49e60c9acf2a3b66f35ae53fee1a28a8	1.7953733945771104e-5	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA
eef0fb3d832a260376c40209c188b47d	6.668648207848428e-6	1	NA	NA	NA	FALSE	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	Leucosporidium_intermedium
0517427a287b8358aaefa4af9dd47961	1.4827241455272567e-5	1	NA	NA	NA	FALSE	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Exidiopsis	Exidiopsis_mucedinea
01d0a0c0b62f40359d1c69b4bdd05706	1.8879323365050597e-5	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
a328de9e13e7b4505c596f47a0ecc8c9	1.4120956336127328e-5	2	NA	0.6122754491017963	0.6122754491017963	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	Epicoccum_sp
f61d384946a835f679d0bf592d5d8b2b	1.7508053704704166e-5	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Sordariomycetes	Xylariales	Amphisphaeriaceae	Microdochium	NA
ce0bae683a639207b94fcb9714d494f7	1.531219375612488e-5	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_sp
992521a9ffd94e394d0f0aa7ee9ab49e	5.6722416699079474e-5	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Davidiella	Davidiella_sp
d2c9dfa565992eda37eaab598108cd3b	8.732273484825803e-6	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_sp
4cf239b996350fa5ea7338604567f65c	6.835597055224788e-6	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_sp
78b59fa7a438876a4ef97746d10a6c16	1.508682467601044e-5	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Neophysalospora	Neophysalospora_eucalypti
2ec1ce94e75c544699df6614a20e2946	1.8494031051478134e-5	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Massariosphaeria	Massariosphaeria_roumeguerei
a621c367e9e5ae0a0c910eba4834c288	1.4676098505973174e-5	1	NA	NA	NA	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_eureka
